folder,domain_id,value,display_name,description
"",slpprobfreq,1,Rarely (once a month),""
"",slpprobfreq,2,Sometimes (2-4 times a month),""
"",slpprobfreq,3,Often (5-15 times a month),""
"",slpprobfreq,4,Almost always (16-30 times a month),""
"",slpsatisfaction,1,Completely satisfied,""
"",slpsatisfaction,2,Mostly satisfied,""
"",slpsatisfaction,3,Moderately satisfied,""
"",slpsatisfaction,4,Not very satisfied,""
"",slpsatisfaction,5,UNKNOWN (CHECK WITH WSC),""
"",slpsatisfactionfreq,1,Most of the time,""
"",slpsatisfactionfreq,2,Some of the time,""
"",slpsatisfactionfreq,3,Not usually,""
"",slpsatisfactionfreq,4,Never,""
"",smokinghistory,0,Never,""
"",smokinghistory,1,Past,""
"",smokinghistory,2,Current,""
"",snoring,1,Only slightly louder than heavy breathing,""
"",snoring,2,About as loud as mumbling or talking,""
"",snoring,3,Louder than talking,""
"",snoring,4,"Extremely loud, can be heard through a closed door",""
"",snoring,9,Do not know,""
"",snoring,8,Does not apply,""
"",studyvisit,1,Visit 1,""
"",studyvisit,2,Visit 2,""
"",studyvisit,3,Visit 3,""
"",studyvisit,4,Visit 4,""
"",studyvisit,5,Visit 5,""
"",surgerytype,1,"Hysterectomy, uterus and both ovaries removed",""
"",surgerytype,2,"Hysterectomy, uterus and only one ovary removed",""
"",surgerytype,3,"Hysterectomy, uterus removed, no ovaries removed",""
"",surgerytype,4,"One ovary removed, uterus and one ovary remain",""
"",surgerytype,5,"Both ovaries removed, uterus remains",""
"",surgerytype,6,Unsure,""
"",takingornot,0,Not taking,""
"",takingornot,1,Taking,""
"",tiredafterwake,1,Very tired,""
"",tiredafterwake,2,Fairly tired,""
"",tiredafterwake,3,Fairly refreshed,""
"",tiredafterwake,4,Very refreshed,""
"",tiredness,1,Not at all tired,""
"",tiredness,2,A little tired,""
"",tiredness,3,Fairly tired,""
"",tiredness,4,Very tired,""
"",treatmenthelp,1,Not at all,""
"",treatmenthelp,2,Helped a little,""
"",treatmenthelp,3,Helped moderately,""
"",treatmenthelp,4,Helped a lot,""
"",type,1,"Definitely a ""morning"" type",""
"",type,2,"Rather more a ""morning"" than an ""evening"" type",""
"",type,3,"Rather more an ""evening"" type than a ""morning"" type",""
"",type,4,"Definitely an ""evening"" type",""
